fold,rmse
0,0.0
1,0.0
2,0.0
3,0.8580000000000041
4,3.2379999999999995
5,0.0
6,0.0
7,0.0
8,0.0
9,1.4100000000000037
10,0.4590000000000032
11,0.0
12,3.5489999999999995
13,0.0
14,5.698
15,15.061
16,1.3669999999999973
17,0.0
18,5.109999999999999
19,0.0
20,0.0
21,8.091999999999999
22,12.206
23,3.706000000000003
24,15.036999999999999
25,0.0
26,0.0
27,9.43
28,0.0
29,4.021000000000001
30,0.0
31,0.0
32,8.463000000000001
33,5.044000000000004
34,11.207
35,2.745999999999995
36,0.0
37,0.0
38,7.340000000000003
39,0.0
40,1.3420000000000059
41,7.579999999999998
42,0.0
43,0.0
44,15.015
45,0.0
46,6.975000000000001
47,7.434000000000005
48,15.704999999999998
49,0.0
50,0.0
51,0.0
52,7.463000000000001
53,1.0570000000000022
54,0.0
55,0.0
56,0.04899999999999949
57,5.042999999999999
58,1.9230000000000018
59,0.0
60,5.768999999999998
61,0.0
62,2.1129999999999995
63,0.0
64,5.109000000000002
65,5.417000000000002
66,0.8220000000000027
67,6.0290000000000035
68,8.908999999999999
69,4.209000000000003
70,19.672999999999995
71,13.954999999999998
72,0.0
73,7.090000000000003
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,11.811
81,4.809000000000005
82,7.142000000000003
83,0.0
84,1.169000000000004
85,6.225000000000001
86,2.618000000000002
87,2.094000000000001
88,3.033999999999999
89,8.880000000000003
90,11.107
91,5.900999999999996
92,0.757000000000005
93,0.828000000000003
94,0.0
95,3.679000000000002
96,0.4339999999999975
97,0.0
98,0.0
99,3.5900000000000034
100,0.0
101,5.712000000000003
102,0.030000000000001137
103,0.0
104,0.0
105,4.242000000000004
106,5.778000000000002
107,0.0
108,5.475999999999999
109,0.0
110,0.0
111,0.0
112,11.112000000000002
113,1.3200000000000003
114,0.0
115,0.0
116,8.991999999999997
117,0.0
118,0.0
119,4.544000000000004
120,1.1569999999999965
121,0.6649999999999991
122,1.0529999999999973
123,1.908999999999999
124,3.8089999999999975
125,0.0
126,8.950000000000003
127,1.9559999999999995
128,8.844000000000001
129,3.8499999999999943
130,2.995999999999995
131,1.009999999999998
132,2.5
133,3.4740000000000038
134,15.055
135,1.357999999999997
136,3.081000000000003
137,8.942000000000004
138,0.0
139,0.0
140,0.0
141,1.171999999999997
142,0.0
143,0.0
144,6.709000000000003
145,0.0
146,0.2480000000000011
147,0.8960000000000008
148,3.5790000000000006
149,1.9220000000000041
150,2.1779999999999973
151,13.308
152,6.343999999999998
153,0.0
154,0.1390000000000029
155,0.0
156,5.0120000000000005
157,2.1310000000000002
158,2.8930000000000007
159,0.0
160,0.0
161,6.814
162,5.330999999999996
163,3.4350000000000023
164,18.704
165,3.290999999999997
166,2.5989999999999966
167,4.715000000000003
168,5.162999999999997
169,0.0
170,0.3299999999999983
171,0.9220000000000041
172,0.9069999999999965
173,0.0
174,0.0
175,1.0529999999999973
176,0.0
177,0.0
178,11.711999999999996
179,0.0
180,11.173000000000002
181,5.488000000000007
182,0.0
183,6.43
184,0.0
185,3.381999999999998
186,7.600000000000001
187,8.968000000000004
188,0.0
189,4.2890000000000015
190,0.0
191,0.0
192,7.288000000000004
193,9.005999999999997
194,0.0
195,0.0
196,3.977000000000004
197,0.0
198,0.0
199,1.875
200,0.0
201,0.0
202,1.7250000000000014
203,3.2789999999999964
204,4.899999999999999
205,3.323999999999998
206,2.7900000000000063
207,4.710000000000001
208,0.1110000000000042
209,5.518000000000001
210,11.003
211,0.0
212,11.804000000000002
213,4.712000000000003
214,6.408999999999999
215,0.0
216,8.171999999999997
217,0.0
218,0.016999999999995907
219,0.0
220,8.209000000000003
221,0.0
222,7.336999999999996
223,13.947999999999997
224,3.2040000000000006
225,25.569000000000003
226,7.9069999999999965
227,5.634
228,0.0
229,0.1290000000000049
230,0.0
231,0.0
232,0.0
233,6.278999999999996
234,6.408000000000001
235,0.0
236,0.0
237,7.5959999999999965
238,5.631
239,0.0
240,0.0
241,0.0
242,0.0
243,18.207
244,0.0
245,5.960000000000001
246,0.0
247,0.0
248,0.0
249,0.0
250,9.901000000000003
251,0.5380000000000038
252,0.0
253,6.643999999999998
254,0.0
255,17.526999999999997
256,5.347999999999999
257,6.679000000000002
258,0.0
259,0.0
260,0.035000000000003695
261,0.0
262,0.0
263,2.963000000000001
264,0.0
265,1.671999999999997
266,2.8629999999999995
267,2.8299999999999983
268,5.901000000000003
269,1.2519999999999953
270,0.4100000000000037
271,0.0
272,0.0
273,4.591000000000001
274,3.1620000000000026
275,3.3299999999999983
276,0.0
277,0.0
278,10.579
279,0.0
280,9.11
281,0.0
282,3.4399999999999977
283,7.533000000000001
284,0.0
285,0.0
286,17.28
287,6.204000000000001
288,5.535000000000004
289,8.893999999999998
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,2.3830000000000027
297,0.0
298,5.0390000000000015
299,3.649000000000001
300,2.5419999999999945
301,1.0850000000000009
302,3.503999999999998
303,1.713000000000001
304,1.5100000000000051
305,5.162000000000006
306,0.0
307,2.493000000000002
308,8.744
309,0.0
310,0.0
311,0.0
312,0.012000000000000455
313,0.0
314,0.0
315,5.2549999999999955
316,1.5549999999999962
317,2.9369999999999976
318,3.5160000000000053
319,5.503
320,21.363
321,1.716000000000001
322,10.481000000000002
323,5.828000000000003
324,3.7890000000000015
325,0.0
326,4.881999999999998
327,2.3290000000000006
328,0.0
329,6.280999999999999
330,0.0
331,2.195999999999998
332,5.334000000000003
333,9.987000000000002
334,16.907999999999998
335,0.5599999999999952
336,10.671999999999997
337,1.2879999999999967
338,0.0
339,2.997
340,0.0
341,2.344000000000001
342,0.0
343,11.909999999999997
344,10.357999999999997
345,3.6969999999999956
346,0.0
347,3.835000000000001
348,0.0
349,0.4650000000000034
350,5.5589999999999975
351,2.013999999999996
352,6.839999999999996
353,0.0
354,0.5109999999999957
355,6.299999999999997
356,2.7729999999999997
357,2.8389999999999986
358,17.271
359,9.521
360,0.0
361,8.649000000000001
362,8.804000000000002
363,3.7049999999999983
364,10.449999999999996
365,7.782999999999994
366,2.3049999999999997
367,0.0
368,0.0
369,4.805
370,0.0
371,8.518999999999998
372,0.0
373,0.0
374,0.0
375,4.207999999999998
376,0.9570000000000007
377,0.0
378,4.573
379,0.0
380,4.678999999999995
381,0.0
382,0.7050000000000054
383,0.0
384,1.2269999999999968
385,10.442
386,4.216999999999999
387,0.0
388,3.0919999999999987
389,0.0
390,2.428999999999995
391,1.9029999999999987
392,5.747
393,1.581000000000003
394,0.0
395,0.0
396,6.4239999999999995
397,7.788
398,3.2459999999999987
399,0.0
400,2.0919999999999987
401,0.0
402,2.104999999999997
403,7.744
404,7.089000000000006
405,0.0
406,5.276
407,6.277000000000001
408,1.4920000000000044
409,14.019999999999996
410,6.847000000000001
411,0.0
412,3.2619999999999933
413,0.0
414,5.052999999999997
415,1.1270000000000024
416,12.533999999999999
417,6.860999999999997
418,6.814999999999998
419,0.4140000000000015
420,4.555
421,8.546
422,6.650000000000006
423,1.3539999999999992
424,5.053999999999995
425,8.809000000000001
426,3.460000000000001
427,0.0
428,1.2779999999999987
429,10.816000000000003
430,9.099999999999998
431,8.604
432,2.113999999999997
433,1.2759999999999962
434,0.0
435,5.949999999999996
436,7.508000000000003
437,0.0
438,3.0350000000000037
439,0.8659999999999997
440,0.0
441,0.0
442,4.692000000000004
443,7.775999999999996
444,3.9540000000000006
445,9.140999999999998
446,4.408999999999999
447,7.358000000000004
448,0.0
449,0.0
450,4.9879999999999995
451,0.0
452,2.801000000000002
453,0.0
454,0.0
455,7.933
456,2.09
457,9.136
458,0.0
459,0.0
460,0.0
461,7.860999999999997
462,0.0
463,0.0
464,3.652000000000001
465,4.861999999999995
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,3.1499999999999986
473,4.886000000000003
474,0.0
475,0.9350000000000023
476,0.0
477,6.686
478,4.497
479,6.047999999999998
480,0.0
481,9.630000000000003
482,0.0
483,0.0
484,4.930000000000003
485,11.753000000000004
486,0.24500000000000455
487,30.325000000000003
488,1.0700000000000003
489,2.8299999999999983
490,3.192999999999998
491,6.558
492,1.8769999999999953
493,0.0
494,0.0
495,4.078000000000003
496,0.0
497,0.0
498,0.0
499,1.1869999999999976
